"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2016,"W",59,"No Grass","Lasthenia californica",13,13,0,6,6,54
2016,"D",81,"No Grass","Clarkia purpurea",28,26,6,4,10,96
2016,"D",81,"Grass","Clarkia purpurea",38,29,3,15,18,96
2016,"D",81,"No Grass","Plantago erecta",56,34,5,0,7,84
2016,"D",81,"Grass","Agoseris heterophylla",46,20,0,3,3,95
2016,"D",81,"No Grass","Agoseris heterophylla",46,31,13,0,13,95
2016,"D",81,"No Grass","Hemizonia congesta",12,12,2,2,4,71
2016,"D",81,"Grass","Hemizonia congesta",17,17,3,7,11,71
2016,"D",81,"Grass","Plantago erecta",42,27,2,1,3,84
2016,"D",81,"Grass","Lasthenia californica",13,13,1,4,5,54
2016,"D",81,"No Grass","Lasthenia californica",7,7,0,0,0,54
2016,"C",82,"No Grass","Hemizonia congesta",19,18,8,6,14,71
2016,"C",82,"Grass","Agoseris heterophylla",0,0,0,0,0,95
2016,"C",82,"No Grass","Agoseris heterophylla",51,30,7,0,7,95
2016,"C",82,"Grass","Lasthenia californica",0,0,0,0,0,54
2016,"C",82,"No Grass","Lasthenia californica",7,7,0,0,0,54
2016,"C",82,"Grass","Hemizonia congesta",0,0,0,0,0,71
2016,"C",82,"No Grass","Clarkia purpurea",39,24,3,10,13,96
2016,"C",82,"No Grass","Plantago erecta",50,34,15,0,15,84
2016,"C",82,"Grass","Clarkia purpurea",0,0,0,0,0,96
2016,"C",82,"Grass","Plantago erecta",0,0,0,0,0,84
2016,"D",83,"No Grass","Agoseris heterophylla",60,26,3,0,3,95
2016,"D",83,"No Grass","Plantago erecta",18,15,2,0,2,84
2016,"D",83,"Grass","Clarkia purpurea",32,25,8,8,16,96
2016,"D",83,"No Grass","Clarkia purpurea",30,25,6,2,8,96
2016,"D",83,"No Grass","Lasthenia californica",7,7,1,3,4,54
2016,"D",83,"Grass","Lasthenia californica",4,4,0,2,2,54
2016,"D",83,"Grass","Plantago erecta",40,26,2,0,3,84
2016,"D",83,"No Grass","Hemizonia congesta",24,22,3,2,6,71
2016,"D",83,"Grass","Agoseris heterophylla",62,27,3,7,10,95
2016,"D",83,"Grass","Hemizonia congesta",24,24,11,9,20,71
2016,"C",84,"Grass","Agoseris heterophylla",51,27,10,2,12,95
2016,"C",84,"Grass","Clarkia purpurea",23,22,9,6,15,96
2016,"C",84,"Grass","Lasthenia californica",0,0,0,0,0,54
2016,"C",84,"Grass","Hemizonia congesta",14,14,5,2,7,71
2016,"C",84,"Grass","Plantago erecta",24,20,1,1,2,84
2016,"C",84,"No Grass","Agoseris heterophylla",80,29,4,0,4,95
2016,"C",84,"No Grass","Hemizonia congesta",17,17,2,2,4,71
2016,"C",84,"No Grass","Lasthenia californica",7,7,0,0,0,54
2016,"C",84,"No Grass","Clarkia purpurea",33,27,8,3,11,96
2016,"C",84,"No Grass","Plantago erecta",49,28,2,2,4,84
2016,"D",89,"Grass","Lasthenia californica",0,0,0,0,0,54
2016,"D",89,"Grass","Hemizonia congesta",0,0,0,0,0,71
2016,"D",89,"No Grass","Plantago erecta",50,26,4,2,6,84
2016,"D",89,"No Grass","Clarkia purpurea",39,32,8,1,9,96
2016,"D",89,"Grass","Agoseris heterophylla",0,0,0,0,0,95
2016,"D",89,"No Grass","Lasthenia californica",10,10,1,1,2,54
2016,"D",89,"Grass","Plantago erecta",0,0,0,0,0,84
2016,"D",89,"Grass","Clarkia purpurea",0,0,0,0,0,96
2016,"D",89,"No Grass","Hemizonia congesta",21,21,3,6,9,71
2016,"D",89,"No Grass","Agoseris heterophylla",75,32,12,0,12,95
2016,"D",91,"No Grass","Hemizonia congesta",61,37,6,5,15,71
2016,"D",91,"Grass","Lasthenia californica",8,7,0,2,2,54
2016,"D",91,"No Grass","Clarkia purpurea",27,26,8,1,9,96
2016,"D",91,"No Grass","Plantago erecta",66,32,8,3,16,84
2016,"D",91,"Grass","Agoseris heterophylla",58,33,10,7,19,95
2016,"D",91,"No Grass","Agoseris heterophylla",74,41,21,1,25,95
2016,"D",91,"Grass","Hemizonia congesta",50,31,9,6,17,71
2016,"D",91,"No Grass","Lasthenia californica",17,17,0,3,3,54
2016,"D",91,"Grass","Clarkia purpurea",43,33,7,6,15,96
2016,"D",91,"Grass","Plantago erecta",66,31,9,0,12,84
2016,"C",92,"No Grass","Agoseris heterophylla",92,30,6,0,7,95
2016,"C",92,"Grass","Clarkia purpurea",58,28,5,2,7,96
2016,"C",92,"No Grass","Plantago erecta",62,21,3,0,3,84
2016,"C",92,"No Grass","Clarkia purpurea",29,25,3,3,6,96
2016,"C",92,"Grass","Agoseris heterophylla",56,27,9,4,13,95
2016,"C",92,"Grass","Hemizonia congesta",41,31,6,8,15,71
2016,"C",92,"No Grass","Hemizonia congesta",66,27,4,5,9,71
2016,"C",92,"No Grass","Lasthenia californica",9,9,0,2,2,54
2016,"C",92,"Grass","Lasthenia californica",14,11,0,1,1,54
2016,"C",92,"Grass","Plantago erecta",65,27,4,0,5,84
2016,"D",93,"Grass","Agoseris heterophylla",74,37,15,1,16,95
2016,"D",93,"No Grass","Lasthenia californica",5,5,3,2,5,54
2016,"D",93,"No Grass","Agoseris heterophylla",71,21,0,1,1,95
2016,"D",93,"Grass","Lasthenia californica",0,0,0,0,0,54
2016,"D",93,"Grass","Clarkia purpurea",33,26,13,8,21,96
2016,"D",93,"No Grass","Clarkia purpurea",26,21,9,10,19,96
2016,"D",93,"Grass","Hemizonia congesta",33,27,4,6,11,71
2016,"D",93,"No Grass","Plantago erecta",61,19,2,0,2,84
2016,"D",93,"No Grass","Hemizonia congesta",42,24,2,0,2,71
2016,"D",93,"Grass","Plantago erecta",84,28,5,1,6,84
2016,"D",95,"Grass","Hemizonia congesta",49,26,4,2,6,71
2016,"D",95,"Grass","Lasthenia californica",8,8,3,0,3,54
