Species,Plot,Year,Date,Subplot,n.seed.inf,n.ind,Treat.Code,p.viable
Hemizonia congesta,17,2016,9/2/16,No Grass,4,3,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,No Grass,4,2,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,No Grass,4,4,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,No Grass,4,5,W,0.71728972
Hemizonia congesta,17,2016,9/2/16,No Grass,3,1,W,0.71728972
Lasthenia californica,17,2016,5/22/16,No Grass,14,1,W,0.545238095
Lasthenia californica,17,2016,5/22/16,No Grass,52,3,W,0.545238095
Lasthenia californica,17,2016,5/22/16,No Grass,45,2,W,0.545238095
Plantago erecta,17,2016,5/22/16,No Grass,2,1,W,0.849557522
Plantago erecta,17,2016,5/22/16,No Grass,2,3,W,0.849557522
Plantago erecta,17,2016,5/22/16,No Grass,2,4,W,0.849557522
Plantago erecta,17,2016,5/22/16,No Grass,2,5,W,0.849557522
Plantago erecta,17,2016,5/22/16,No Grass,2,2,W,0.849557522
Agoseris heterophylla,18,2016,5/9/16,Grass,47,2,C,0.954436451
Agoseris heterophylla,18,2016,5/22/16,Grass,66,5,C,0.954436451
Agoseris heterophylla,18,2016,5/9/16,Grass,28,1,C,0.954436451
Agoseris heterophylla,18,2016,5/22/16,Grass,27,4,C,0.954436451
Agoseris heterophylla,18,2016,5/9/16,Grass,81,3,C,0.954436451
Agoseris heterophylla,18,2016,5/22/16,Grass,57,6,C,0.954436451
Clarkia purpurea,18,2016,6/23/16,Grass,48,15,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,4,6,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,Grass,31,14,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,Grass,11,16,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,Grass,33,11,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,4,5,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,Grass,12,10,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,2,7,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,Grass,68,13,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,Grass,8,12,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,4,1,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,4,2,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,32,9,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,17,8,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,2,3,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,Grass,17,4,C,0.966666667
Hemizonia congesta,18,2016,9/2/16,Grass,5,1,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,Grass,5,2,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,Grass,5,3,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,Grass,5,4,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,Grass,5,5,C,0.71728972
Lasthenia californica,18,2016,5/22/16,Grass,31,1,C,0.545238095
Lasthenia californica,18,2016,5/22/16,Grass,42,2,C,0.545238095
Lasthenia californica,18,2016,5/22/16,Grass,42,3,C,0.545238095
Lasthenia californica,18,2016,5/22/16,Grass,52,5,C,0.545238095
Lasthenia californica,18,2016,5/22/16,Grass,60,6,C,0.545238095
Lasthenia californica,18,2016,5/22/16,Grass,41,4,C,0.545238095
Agoseris heterophylla,18,2016,5/9/16,No Grass,71,3,C,0.954436451
Agoseris heterophylla,18,2016,5/9/16,No Grass,55,1,C,0.954436451
Agoseris heterophylla,18,2016,5/9/16,No Grass,0,5,C,0.954436451
Agoseris heterophylla,18,2016,5/9/16,No Grass,43,2,C,0.954436451
Agoseris heterophylla,18,2016,5/9/16,No Grass,54,4,C,0.954436451
Agoseris heterophylla,18,2016,5/9/16,No Grass,90,6,C,0.954436451
Clarkia purpurea,18,2016,6/9/16,No Grass,21,9,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,10,5,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,18,3,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,10,10,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,5,6,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,6,7,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,6,2,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,18,8,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,5,1,C,0.966666667
Clarkia purpurea,18,2016,6/9/16,No Grass,21,4,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,49,17,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,4,19,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,22,11,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,33,16,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,43,18,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,25,14,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,41,15,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,22,12,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,14,20,C,0.966666667
Clarkia purpurea,18,2016,6/23/16,No Grass,35,13,C,0.966666667
Hemizonia congesta,18,2016,9/2/16,No Grass,4,1,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,No Grass,4,2,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,No Grass,5,3,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,No Grass,5,5,C,0.71728972
Hemizonia congesta,18,2016,9/2/16,No Grass,5,4,C,0.71728972
Lasthenia californica,18,2016,5/9/16,No Grass,54,3,C,0.545238095
Lasthenia californica,18,2016,5/9/16,No Grass,63,4,C,0.545238095
Lasthenia californica,18,2016,5/9/16,No Grass,40,2,C,0.545238095
Lasthenia californica,18,2016,5/9/16,No Grass,63,5,C,0.545238095
Lasthenia californica,18,2016,5/9/16,No Grass,31,1,C,0.545238095
Lasthenia californica,18,2016,5/22/16,No Grass,91,12,C,0.545238095
Lasthenia californica,18,2016,5/22/16,No Grass,121,13,C,0.545238095
Lasthenia californica,18,2016,5/22/16,No Grass,74,11,C,0.545238095
Lasthenia californica,18,2016,5/22/16,No Grass,79,10,C,0.545238095
Lasthenia californica,18,2016,5/22/16,No Grass,73,9,C,0.545238095
Lasthenia californica,18,2016,5/22/16,No Grass,49,7,C,0.545238095
Lasthenia californica,18,2016,5/22/16,No Grass,59,8,C,0.545238095
Lasthenia californica,18,2016,5/9/16,No Grass,76,6,C,0.545238095
Plantago erecta,18,2016,5/22/16,No Grass,2,3,C,0.849557522
Plantago erecta,18,2016,5/22/16,No Grass,2,1,C,0.849557522
Plantago erecta,18,2016,5/22/16,No Grass,2,4,C,0.849557522
Plantago erecta,18,2016,5/22/16,No Grass,2,5,C,0.849557522
Plantago erecta,18,2016,5/22/16,No Grass,2,2,C,0.849557522
Agoseris heterophylla,19,2016,5/9/16,Grass,49,3,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,Grass,34,1,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,Grass,52,2,W,0.954436451
Agoseris heterophylla,19,2016,5/22/16,Grass,58,8,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,Grass,37,5,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,Grass,32,6,W,0.954436451
Agoseris heterophylla,19,2016,5/22/16,Grass,71,9,W,0.954436451
Agoseris heterophylla,19,2016,5/22/16,Grass,49,7,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,Grass,58,4,W,0.954436451
Clarkia purpurea,19,2016,6/23/16,Grass,8,12,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,18,10,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,42,11,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,54,13,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,46,9,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,34,7,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,13,1,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,6,6,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,53,8,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,8,4,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,50,5,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,38,3,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,Grass,55,2,W,0.966666667
Hemizonia congesta,19,2016,9/2/16,Grass,3,4,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,Grass,3,3,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,Grass,4,5,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,Grass,3,2,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,Grass,3,1,W,0.71728972
Lasthenia californica,19,2016,5/22/16,Grass,45,5,W,0.545238095
Lasthenia californica,19,2016,5/22/16,Grass,62,7,W,0.545238095
Lasthenia californica,19,2016,5/9/16,Grass,72,4,W,0.545238095
Lasthenia californica,19,2016,5/22/16,Grass,68,6,W,0.545238095
Lasthenia californica,19,2016,5/9/16,Grass,84,3,W,0.545238095
Lasthenia californica,19,2016,5/9/16,Grass,73,2,W,0.545238095
Lasthenia californica,19,2016,5/9/16,Grass,71,1,W,0.545238095
Plantago erecta,19,2016,5/22/16,Grass,2,3,W,0.849557522
Plantago erecta,19,2016,5/22/16,Grass,2,1,W,0.849557522
Plantago erecta,19,2016,5/22/16,Grass,2,2,W,0.849557522
Plantago erecta,19,2016,5/22/16,Grass,2,5,W,0.849557522
Plantago erecta,19,2016,5/22/16,Grass,2,4,W,0.849557522
Agoseris heterophylla,19,2016,5/22/16,No Grass,38,10,W,0.954436451
Agoseris heterophylla,19,2016,5/22/16,No Grass,61,11,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,52,3,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,72,4,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,41,9,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,51,2,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,99,1,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,60,5,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,31,7,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,50,8,W,0.954436451
Agoseris heterophylla,19,2016,5/22/16,No Grass,70,12,W,0.954436451
Agoseris heterophylla,19,2016,5/9/16,No Grass,46,6,W,0.954436451
Agoseris heterophylla,19,2016,5/22/16,No Grass,29,14,W,0.954436451
Agoseris heterophylla,19,2016,5/22/16,No Grass,27,13,W,0.954436451
Clarkia purpurea,19,2016,6/23/16,No Grass,31,15,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,2,9,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,40,7,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,38,8,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,51,6,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,14,4,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,9,5,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,44,3,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,44,10,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,38,14,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,23,12,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,45,13,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,30,11,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,49,1,W,0.966666667
Clarkia purpurea,19,2016,6/23/16,No Grass,43,2,W,0.966666667
Hemizonia congesta,19,2016,9/2/16,No Grass,3,2,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,No Grass,3,4,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,No Grass,3,5,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,No Grass,3,3,W,0.71728972
Hemizonia congesta,19,2016,9/2/16,No Grass,2,1,W,0.71728972
Lasthenia californica,19,2016,5/22/16,No Grass,88,9,W,0.545238095
Lasthenia californica,19,2016,5/22/16,No Grass,76,8,W,0.545238095
Lasthenia californica,19,2016,5/9/16,No Grass,4,1,W,0.545238095
