Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Agoseris heterophylla,37,No Grass,W,2016,5/20/16,0,4,2,1.8,0.447213595,5,33.55555556,60.4,NA,0.954436451
Clarkia purpurea,37,No Grass,W,2016,5/20/16,1,2,8,1.6,0.894427191,5,21.6,34.56,NA,0.966666667
Hemizonia congesta,37,No Grass,W,2016,7/27/16,2,1,9,7.5,3,4,4.6,34.5,NA,0.71728972
Plantago erecta,37,No Grass,W,2016,4/24/16,1,18,0,2.4,1.341640786,5,2,4.8,NA,0.849557522
Agoseris heterophylla,49,Grass,W,2016,4/24/16,1,7,1,1,0,5,NA,NA,90,0.954436451
Clarkia purpurea,49,Grass,W,2016,5/20/16,1,1,11,1,0,5,17.8,17.8,90,0.966666667
Hemizonia congesta,49,Grass,W,2016,9/2/16,0,0,17,18.4,10.2859127,5,4.8,88.32,90,0.71728972
Lasthenia californica,49,Grass,W,2016,4/24/16,0,11,0,1,0,5,13.83333333,13.83333333,90,0.545238095
Plantago erecta,49,Grass,W,2016,4/24/16,0,21,0,3.4,1.140175425,5,2,6.8,90,0.849557522
Agoseris heterophylla,49,No Grass,W,2016,5/8/16,2,3,2,2,1,5,40,80,NA,0.954436451
Clarkia purpurea,49,No Grass,W,2016,6/8/16,0,0,17,2.4,1.516575089,5,20.24,48.576,NA,0.966666667
Hemizonia congesta,49,No Grass,W,2016,7/27/16,6,1,4,5.5,2.380476143,4,4.8,26.4,NA,0.71728972
Lasthenia californica,49,No Grass,W,2016,4/24/16,0,4,3,1.6,0.547722558,5,31.22222222,49.95555556,NA,0.545238095
Plantago erecta,49,No Grass,W,2016,4/24/16,0,22,0,17.8,12.96919427,5,2,35.6,NA,0.849557522
Agoseris heterophylla,50,Grass,C,2016,4/24/16,2,5,5,1,0,5,8,8,70,0.954436451
Clarkia purpurea,50,Grass,C,2016,5/20/16,1,0,11,1,0,5,4.307692308,4.307692308,70,0.966666667
Hemizonia congesta,50,Grass,C,2016,7/27/16,6,1,0,3.4,2.302172887,5,3.4,11.56,70,0.71728972
Lasthenia californica,50,Grass,C,2016,4/24/16,0,6,1,1,0,5,29,29,70,0.545238095
Plantago erecta,50,Grass,C,2016,4/24/16,0,20,0,3.2,0.836660027,5,2,6.4,70,0.849557522
Agoseris heterophylla,50,No Grass,C,2016,4/24/16,7,3,8,1.2,0.447213595,5,30.22222222,36.26666667,NA,0.954436451
Clarkia purpurea,50,No Grass,C,2016,5/20/16,9,1,4,1.8,1.303840481,5,24.88888889,44.8,NA,0.966666667
Hemizonia congesta,50,No Grass,C,2016,7/27/16,5,2,2,7.5,5.744562647,4,3.8,28.5,NA,0.71728972
Lasthenia californica,50,No Grass,C,2016,4/24/16,0,6,0,1.2,0.447213595,5,26,31.2,NA,0.545238095
Plantago erecta,50,No Grass,C,2016,4/24/16,1,19,0,7,3.605551275,5,2,14,NA,0.849557522
Agoseris heterophylla,55,Grass,W,2016,4/24/16,2,6,4,1,0,5,3.666666667,3.666666667,80,0.954436451
Clarkia purpurea,55,Grass,W,2016,6/8/16,0,0,10,1,0,5,7,7,80,0.966666667
Hemizonia congesta,55,Grass,W,2016,7/27/16,7,6,3,8.8,4.324349662,5,4.6,40.48,80,0.71728972
Lasthenia californica,55,Grass,W,2016,4/24/16,0,9,0,1,0,5,10.5,10.5,80,0.545238095
Plantago erecta,55,Grass,W,2016,4/24/16,0,21,0,4,1.58113883,5,2,8,80,0.849557522
Agoseris heterophylla,55,No Grass,W,2016,4/24/16,10,5,2,1,0,5,16.11111111,16.11111111,NA,0.954436451
Clarkia purpurea,55,No Grass,W,2016,5/20/16,9,3,2,1,0,5,12.66666667,12.66666667,NA,0.966666667
Hemizonia congesta,55,No Grass,W,2016,7/27/16,9,1,4,6.6,4.449719092,5,4.6,30.36,NA,0.71728972
Lasthenia californica,55,No Grass,W,2016,4/24/16,0,4,0,1,0,5,24,24,NA,0.545238095
Plantago erecta,55,No Grass,W,2016,4/24/16,0,20,0,3.8,1.483239697,5,2,7.6,NA,0.849557522
Agoseris heterophylla,56,Grass,C,2016,4/24/16,0,5,9,1,0,5,27.6,27.6,70,0.954436451
Clarkia purpurea,56,Grass,C,2016,6/8/16,0,0,17,1,0,5,5,5,70,0.966666667
Hemizonia congesta,56,Grass,C,2016,7/27/16,11,4,2,8.6,4.722287581,5,4.166666667,35.83333333,70,0.71728972
Lasthenia californica,56,Grass,C,2016,4/24/16,0,3,0,1,0,3,2,2,70,0.545238095
Plantago erecta,56,Grass,C,2016,4/24/16,0,21,0,4.4,1.949358869,5,2,8.8,70,0.849557522
Agoseris heterophylla,56,No Grass,C,2016,5/20/16,0,2,5,3,0.707106781,5,21.4,64.2,NA,0.954436451
Clarkia purpurea,56,No Grass,C,2016,5/20/16,10,2,6,2.6,0.547722558,5,27.2,70.72,NA,0.966666667
Hemizonia congesta,56,No Grass,C,2016,7/27/16,8,2,5,4.6,2.607680962,5,5,23,NA,0.71728972
Lasthenia californica,56,No Grass,C,2016,4/24/16,0,9,0,1.8,0.447213595,5,30.28571429,54.51428571,NA,0.545238095
Plantago erecta,56,No Grass,C,2016,4/24/16,0,19,0,8.6,4.827007354,5,2,17.2,NA,0.849557522
Agoseris heterophylla,59,Grass,W,2016,5/8/16,3,1,0,1,0,4,22,22,40,0.954436451
Clarkia purpurea,59,Grass,W,2016,5/8/16,17,1,0,1,0,5,9.7,9.7,40,0.966666667
Hemizonia congesta,59,Grass,W,2016,7/27/16,5,5,7,11.2,3.701351105,5,4.2,47.04,40,0.71728972
Lasthenia californica,59,Grass,W,2016,4/24/16,0,0,7,1.2,0.447213595,5,56.5,67.8,40,0.545238095
Plantago erecta,59,Grass,W,2016,4/24/16,0,20,0,9.2,7.823042886,5,2,18.4,40,0.849557522
Agoseris heterophylla,59,No Grass,W,2016,4/24/16,3,6,10,1,0,5,38.71428571,38.71428571,NA,0.954436451
Clarkia purpurea,59,No Grass,W,2016,5/20/16,10,2,6,2.6,0.547722558,5,31.46666667,81.81333333,NA,0.966666667
Hemizonia congesta,59,No Grass,W,2016,7/27/16,8,1,5,4.4,2.19089023,5,3.710177404,16.32478058,NA,0.71728972
Lasthenia californica,59,No Grass,W,2016,4/24/16,0,5,5,2,1.224744871,5,48.69230769,97.38461538,NA,0.545238095
Plantago erecta,59,No Grass,W,2016,4/24/16,0,20,0,17.8,10.03493896,5,2,35.6,NA,0.849557522
Agoseris heterophylla,81,Grass,D,2016,4/24/16,0,1,7,1,0,5,18.6,18.6,80,0.954436451
Clarkia purpurea,81,Grass,D,2016,5/20/16,5,0,13,1,0,5,7.714285714,7.714285714,80,0.966666667
Hemizonia congesta,81,Grass,D,2016,7/27/16,3,2,1,3.2,1.303840481,5,2.4,7.68,80,0.71728972
Lasthenia californica,81,Grass,D,2016,4/24/16,0,5,0,1,0,5,6,6,80,0.545238095
Plantago erecta,81,Grass,D,2016,4/24/16,0,25,0,1.8,0.836660027,5,2,3.6,80,0.849557522
Agoseris heterophylla,81,No Grass,D,2016,4/24/16,2,11,3,1.4,0.547722558,5,55.58823529,77.82352941,NA,0.954436451
Clarkia purpurea,81,No Grass,D,2016,5/20/16,0,0,16,1.4,0.547722558,5,16.5625,23.1875,NA,0.966666667
Hemizonia congesta,81,No Grass,D,2016,9/2/16,0,0,8,15.6,6.730527468,5,4.4,68.64,NA,0.71728972
Lasthenia californica,81,No Grass,D,2016,4/24/16,0,7,0,1,0,5,19.2,19.2,NA,0.545238095
Plantago erecta,81,No Grass,D,2016,4/24/16,0,27,0,4,2,5,2,8,NA,0.849557522
Agoseris heterophylla,82,No Grass,C,2016,5/8/16,0,0,12,2.4,1.140175425,5,50.5,121.2,NA,0.954436451
Clarkia purpurea,82,No Grass,C,2016,5/20/16,4,1,9,2,1,5,21.58333333,43.16666667,NA,0.966666667
Hemizonia congesta,82,No Grass,C,2016,7/27/16,0,1,0,4,NA,1,3,12,NA,0.71728972
Lasthenia californica,82,No Grass,C,2016,4/24/16,0,7,0,1.2,0.447213595,5,42.85714286,51.42857143,NA,0.545238095
Plantago erecta,82,No Grass,C,2016,4/24/16,0,17,0,4.6,2.701851217,5,2,9.2,NA,0.849557522
Agoseris heterophylla,83,Grass,D,2016,4/24/16,0,10,6,1,0,5,14.6,14.6,80,0.954436451
Clarkia purpurea,83,Grass,D,2016,5/20/16,0,0,9,1,0,5,4.071428571,4.071428571,80,0.966666667
Hemizonia congesta,83,Grass,D,2016,6/23/16,1,1,0,1,0,2,4.2,4.2,80,0.71728972
Lasthenia californica,83,Grass,D,2016,4/24/16,2,2,0,1,0,4,68,68,80,0.545238095
Plantago erecta,83,Grass,D,2016,4/24/16,0,19,0,2.4,0.894427191,5,2,4.8,80,0.849557522
Agoseris heterophylla,83,No Grass,D,2016,4/24/16,2,2,15,1.6,0.547722558,5,57.5,92,NA,0.954436451
Clarkia purpurea,83,No Grass,D,2016,5/8/16,16,1,0,3.4,1.341640786,5,33,112.2,NA,0.966666667
Hemizonia congesta,83,No Grass,D,2016,7/27/16,10,3,0,10.6,3.361547263,5,4,42.4,NA,0.71728972
Lasthenia californica,83,No Grass,D,2016,4/24/16,0,4,0,1,0,4,30.66666667,30.66666667,NA,0.545238095
Plantago erecta,83,No Grass,D,2016,4/24/16,0,13,0,11.4,7.197221686,5,2,22.8,NA,0.849557522
Agoseris heterophylla,84,Grass,C,2016,5/8/16,1,0,11,2.2,0.836660027,5,32.25,70.95,40,0.954436451
Clarkia purpurea,84,Grass,C,2016,5/20/16,1,1,5,1.8,1.303840481,5,32.7,58.86,40,0.966666667
Hemizonia congesta,84,Grass,C,2016,7/27/16,5,2,0,7.4,5.029910536,5,4.4,32.56,40,0.71728972
Plantago erecta,84,Grass,C,2016,4/24/16,0,18,0,2,0.816496581,4,2,4,40,0.849557522
Agoseris heterophylla,84,No Grass,C,2016,5/8/16,3,4,12,2.8,1.483239697,5,44.28571429,124,NA,0.954436451
Clarkia purpurea,84,No Grass,C,2016,5/20/16,7,2,5,2.4,1.516575089,5,28.30434783,67.93043478,NA,0.966666667
Hemizonia congesta,84,No Grass,C,2016,7/27/16,9,1,1,5.4,2.607680962,5,4,21.6,NA,0.71728972
Lasthenia californica,84,No Grass,C,2016,4/24/16,0,7,0,2,1,5,55.66666667,111.3333333,NA,0.545238095
Plantago erecta,84,No Grass,C,2016,4/24/16,0,24,0,5.8,3.271085447,5,2,11.6,NA,0.849557522
Agoseris heterophylla,89,No Grass,D,2016,4/24/16,3,4,12,1.6,0.894427191,5,37.15789474,59.45263158,NA,0.954436451
Clarkia purpurea,89,No Grass,D,2016,5/20/16,6,2,10,2.8,1.095445115,5,20.18181818,56.50909091,NA,0.966666667
Hemizonia congesta,89,No Grass,D,2016,9/2/16,0,0,12,8,9.617692031,5,3.4,27.2,NA,0.71728972
Lasthenia californica,89,No Grass,D,2016,4/24/16,0,9,0,1.6,0.894427191,5,31,49.6,NA,0.545238095
Plantago erecta,89,No Grass,D,2016,4/24/16,0,20,0,6.8,2.774887385,5,2,13.6,NA,0.849557522
Agoseris heterophylla,91,Grass,D,2016,4/24/16,3,2,4,1,0,5,NA,NA,50,0.954436451
Clarkia purpurea,91,Grass,D,2016,5/20/16,3,2,10,1,0,5,6.777777778,6.777777778,50,0.966666667
Hemizonia congesta,91,Grass,D,2016,9/2/16,0,0,14,18.4,7.569676347,5,4.2,77.28,50,0.71728972
Lasthenia californica,91,Grass,D,2016,4/24/16,0,5,0,1,0,5,NA,NA,50,0.545238095
Plantago erecta,91,Grass,D,2016,4/24/16,0,19,0,3.2,0.836660027,5,2,6.4,50,0.849557522
Agoseris heterophylla,91,No Grass,D,2016,4/24/16,0,8,1,1.4,0.547722558,5,43,60.2,NA,0.954436451
Clarkia purpurea,91,No Grass,D,2016,5/20/16,2,4,4,1.4,0.547722558,5,29.8,41.72,NA,0.966666667
Hemizonia congesta,91,No Grass,D,2016,7/27/16,6,5,0,6.4,4.50555213,5,4.4,28.16,NA,0.71728972
Lasthenia californica,91,No Grass,D,2016,4/24/16,0,12,0,1.4,0.547722558,5,80,112,NA,0.545238095
Plantago erecta,91,No Grass,D,2016,4/24/16,0,17,0,5.4,3.714835124,5,2,10.8,NA,0.849557522
Agoseris heterophylla,92,Grass,C,2016,4/24/16,3,6,5,1,0,5,17.5,17.5,25,0.954436451
Clarkia purpurea,92,Grass,C,2016,5/20/16,6,7,2,1.6,0.894427191,5,26.66666667,42.66666667,25,0.966666667
Hemizonia congesta,92,Grass,C,2016,7/27/16,4,4,1,5.8,4.266145802,5,1.8,10.44,25,0.71728972
Lasthenia californica,92,Grass,C,2016,4/24/16,0,11,0,1.2,0.447213595,5,25,30,25,0.545238095
Plantago erecta,92,Grass,C,2016,4/24/16,0,22,0,6,0.707106781,5,2,12,25,0.849557522
Agoseris heterophylla,92,No Grass,C,2016,4/24/16,8,10,1,1.6,0.894427191,5,45.66666667,73.06666667,NA,0.954436451
Clarkia purpurea,92,No Grass,C,2016,5/20/16,6,3,4,2.8,0.447213595,5,32.08333333,89.83333333,NA,0.966666667
Hemizonia congesta,92,No Grass,C,2016,7/27/16,8,5,1,5.4,3.577708764,5,2.4,12.96,NA,0.71728972
Lasthenia californica,92,No Grass,C,2016,4/24/16,2,5,0,1.6,0.894427191,5,35,56,NA,0.545238095
Plantago erecta,92,No Grass,C,2016,4/24/16,3,15,0,12.4,6.542170894,5,2,24.8,NA,0.849557522
Agoseris heterophylla,93,Grass,D,2016,4/24/16,4,8,8,1.4,0.547722558,5,35.4,49.56,25,0.954436451
Clarkia purpurea,93,Grass,D,2016,5/20/16,0,0,4,1,0,4,12.83333333,12.83333333,25,0.966666667
Hemizonia congesta,93,Grass,D,2016,7/27/16,3,2,4,13,6.041522987,5,2.8,36.4,25,0.71728972
Plantago erecta,93,Grass,D,2016,4/24/16,0,22,0,9,7.810249676,5,2,18,25,0.849557522
Agoseris heterophylla,93,No Grass,D,2016,4/24/16,1,10,0,2.2,1.788854382,5,45.9,100.98,NA,0.954436451
Clarkia purpurea,93,No Grass,D,2016,5/20/16,0,0,3,1,0,3,9,9,NA,0.966666667
Hemizonia congesta,93,No Grass,D,2016,7/27/16,9,6,2,10.6,5.770615219,5,3,31.8,NA,0.71728972
Plantago erecta,93,No Grass,D,2016,4/24/16,0,15,2,10,11.22497216,5,2,20,NA,0.849557522
Agoseris heterophylla,95,Grass,D,2016,4/24/16,1,7,9,1.2,0.447213595,5,34.9,41.88,30,0.954436451
Clarkia purpurea,95,Grass,D,2016,5/20/16,2,3,9,1,0,5,6.545454545,6.545454545,30,0.966666667
Hemizonia congesta,95,Grass,D,2016,7/27/16,4,2,10,9.4,8.648699324,5,3.6,33.84,30,0.71728972
Lasthenia californica,95,Grass,D,2016,4/24/16,0,6,0,1,0,5,4,4,30,0.545238095
Plantago erecta,95,Grass,D,2016,4/24/16,0,19,2,8.8,6.099180273,5,2,17.6,30,0.849557522
Agoseris heterophylla,95,No Grass,D,2016,4/24/16,5,10,6,1.2,0.447213595,5,39.66666667,47.6,NA,0.954436451
Clarkia purpurea,95,No Grass,D,2016,5/20/16,0,2,8,1,0,5,18.8,18.8,NA,0.966666667
Hemizonia congesta,95,No Grass,D,2016,7/27/16,6,9,0,13,10.27131929,5,2.6,33.8,NA,0.71728972
Lasthenia californica,95,No Grass,D,2016,4/24/16,0,3,0,2,1,3,53,106,NA,0.545238095
Plantago erecta,95,No Grass,D,2016,4/24/16,0,20,0,9.4,8.933084574,5,2,18.8,NA,0.849557522
Agoseris heterophylla,96,Grass,C,2016,4/24/16,10,5,3,1.2,0.447213595,5,29.71428571,35.65714286,30,0.954436451
Clarkia purpurea,96,Grass,C,2016,5/20/16,2,2,3,1,0,5,10.5,10.5,30,0.966666667
Hemizonia congesta,96,Grass,C,2016,7/27/16,10,4,0,13.8,6.534523701,5,3,41.4,30,0.71728972
Lasthenia californica,96,Grass,C,2016,4/24/16,0,3,0,1,0,3,44.5,44.5,30,0.545238095
Plantago erecta,96,Grass,C,2016,4/24/16,0,21,0,4.2,1.923538406,5,2,8.4,30,0.849557522
Agoseris heterophylla,96,No Grass,C,2016,4/24/16,10,8,2,1.4,0.547722558,5,41.22222222,57.71111111,NA,0.954436451
Clarkia purpurea,96,No Grass,C,2016,5/20/16,16,3,1,1.6,0.547722558,5,20.5,32.8,NA,0.966666667
Hemizonia congesta,96,No Grass,C,2016,7/27/16,9,3,0,4.8,2.28035085,5,4,19.2,NA,0.71728972
Lasthenia californica,96,No Grass,C,2016,4/24/16,0,7,0,1.2,0.447213595,5,35,42,NA,0.545238095
Plantago erecta,96,No Grass,C,2016,4/24/16,2,18,0,6.8,1.923538406,5,2,13.6,NA,0.849557522
Agoseris heterophylla,97,Grass,D,2016,4/24/16,0,5,9,1,0,5,15.2,15.2,60,0.954436451
Hemizonia congesta,97,Grass,D,2016,7/27/16,1,6,6,11.8,12.61744824,5,3.333333333,39.33333333,60,0.71728972
Lasthenia californica,97,Grass,D,2016,4/24/16,0,3,0,1,0,3,1,1,60,0.545238095
Plantago erecta,97,Grass,D,2016,4/24/16,0,13,7,3,0.707106781,5,2,6,60,0.849557522
Agoseris heterophylla,97,No Grass,D,2016,4/24/16,9,6,4,1,0,5,38.72727273,38.72727273,NA,0.954436451
Clarkia purpurea,97,No Grass,D,2016,6/8/16,0,0,5,1,0,5,14.6,14.6,NA,0.966666667
